[2025-05-02T22:49:39.623+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890548.json introuvable, j’ignore.
[2025-05-02T22:49:40.069+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890548.json introuvable, j’ignore.
[2025-05-02T22:49:40.329+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890547.json introuvable, j’ignore.
[2025-05-02T22:49:40.536+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890547.json introuvable, j’ignore.
[2025-05-02T22:49:40.770+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890546.json introuvable, j’ignore.
[2025-05-02T22:49:41.172+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890546.json introuvable, j’ignore.
[2025-05-02T22:49:41.496+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890545.json introuvable, j’ignore.
[2025-05-02T22:49:41.800+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890545.json introuvable, j’ignore.
[2025-05-02T22:49:42.129+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890544.json introuvable, j’ignore.
[2025-05-02T22:49:42.421+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890544.json introuvable, j’ignore.
[2025-05-02T22:49:42.725+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890543.json introuvable, j’ignore.
[2025-05-02T22:49:43.000+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890543.json introuvable, j’ignore.
